id,respond,gender,age,numpurchase,totdol,region,addresstype
1,0,1,37,1,59,6,urban
2,0,1,41,2,118,1,rural
3,0,1,37,1,60,4,urban
4,1,1,36,2,497,2,urban
5,0,1,36,1,64,2,rural
6,0,1,33,2,61,3,urban
7,0,1,44,1,62,4,urban
8,0,1,43,2,50,1,urban
9,0,1,35,2,53,1,urban
10,1,1,55,8,4339,3,rural
11,0,1,32,2,97,2,urban
12,1,0,38,2,151,4,urban
13,1,0,54,6,2286,3,urban
14,0,1,35,2,199,2,rural
15,0,0,35,1,946,4,urban
16,0,1,32,2,56,2,rural
17,0,1,42,2,58,3,urban
18,0,1,42,2,64,1,urban
19,0,1,43,2,52,6,urban
20,0,1,39,3,75,1,rural
21,1,1,44,15,6218,4,urban
22,0,1,30,1,54,2,urban
23,0,1,43,1,76,6,urban
24,0,0,35,1,144,4,rural
25,0,1,38,2,121,4,rural
26,0,1,33,2,61,3,urban
27,0,1,38,1,57,5,urban
28,0,1,36,1,326,4,rural
29,1,1,36,1,53,3,urban
30,0,1,42,2,62,6,rural
31,1,1,39,1,57,2,rural
32,1,1,37,1,54,4,rural
33,0,1,43,2,254,1,urban
34,1,0,39,2,52,1,urban
35,0,0,38,2,75,2,urban
36,0,0,35,2,55,2,urban
37,0,1,40,2,65,1,rural
38,0,1,37,1,210,1,urban
39,0,1,37,1,59,1,urban
40,0,0,38,2,363,2,urban
41,0,0,44,1,56,3,rural
42,0,1,36,3,484,3,urban
43,1,0,40,2,57,1,urban
44,0,0,31,4,247,2,urban
45,1,1,43,6,2314,1,rural
46,0,1,44,1,60,4,urban
47,0,1,51,5,1147,1,urban
48,0,1,33,1,83,4,rural
49,0,1,35,1,205,3,urban
50,0,1,46,1,51,4,rural
51,0,1,35,1,57,2,urban
52,0,1,34,2,551,3,rural
53,0,0,41,3,1698,6,urban
54,0,1,39,1,69,4,urban
55,0,1,41,1,54,3,urban
56,0,1,41,1,54,4,urban
57,0,1,43,2,568,4,urban
58,0,1,39,2,576,2,urban
59,0,1,41,1,194,4,urban
60,0,1,38,1,64,6,urban
61,0,1,37,1,78,4,rural
62,0,1,38,2,52,4,urban
63,0,1,39,1,67,2,urban
64,0,1,40,1,68,2,rural
65,0,1,33,2,56,1,rural
66,0,1,35,1,83,6,rural
67,0,1,42,1,58,5,urban
68,0,1,37,1,52,2,urban
69,1,1,40,6,2638,1,rural
70,1,0,40,1,68,6,urban
71,0,1,42,3,1206,5,urban
72,0,1,33,1,54,1,urban
73,0,1,39,1,66,6,urban
74,0,1,42,1,59,1,rural
75,0,1,33,1,51,2,urban
76,0,1,23,1,68,4,urban
77,0,0,38,1,202,1,urban
78,0,1,35,2,760,1,urban
79,1,0,36,1,90,3,urban
80,0,1,39,3,339,4,urban
81,0,1,35,2,163,1,rural
82,0,0,34,1,55,4,urban
83,0,1,39,1,61,1,urban
84,0,1,41,1,201,2,urban
85,0,1,36,2,335,3,urban
86,0,0,35,1,59,1,urban
87,0,1,34,1,194,5,urban
88,0,1,37,2,77,1,rural
89,0,1,43,1,72,2,urban
90,1,0,42,3,61,1,urban
91,0,1,33,2,359,2,urban
92,0,1,38,2,63,6,urban
93,0,1,32,2,860,2,urban
94,0,1,42,1,59,4,rural
95,0,1,32,2,61,3,rural
96,0,1,37,2,577,3,urban
97,1,1,30,1,251,6,urban
98,0,0,36,2,79,4,urban
99,0,1,35,1,56,6,rural
100,0,1,38,1,55,3,rural
101,0,1,38,3,1089,5,rural
102,0,1,37,2,459,4,rural
103,0,1,36,1,55,4,urban
104,0,1,39,2,51,4,urban
105,0,1,40,1,55,6,rural
106,0,0,33,1,59,4,rural
107,0,1,42,3,207,1,urban
108,0,1,36,1,111,5,rural
109,0,0,34,1,59,1,urban
110,0,1,35,1,52,4,rural
111,0,1,39,2,77,3,urban
112,0,1,36,2,74,1,rural
113,0,1,40,2,55,4,urban
114,0,0,35,1,92,2,urban
115,0,1,41,1,90,6,rural
116,0,1,35,1,62,6,urban
117,0,1,37,1,71,1,rural
118,0,0,41,2,59,3,urban
119,0,1,36,1,146,6,urban
120,0,0,37,3,80,4,rural
121,0,0,37,1,84,2,urban
122,0,0,40,2,101,6,rural
123,0,1,40,2,389,1,urban
124,1,0,42,7,2736,1,urban
125,0,0,31,1,125,2,urban
126,0,1,35,1,125,1,rural
127,0,1,35,2,101,4,rural
128,0,1,35,1,246,5,rural
129,0,1,32,2,68,5,urban
130,0,0,42,1,56,1,urban
131,1,1,41,1,66,4,rural
132,0,1,37,7,3999,1,rural
133,0,1,37,1,80,2,urban
134,0,1,32,1,52,3,urban
135,0,1,42,2,57,3,urban
136,0,1,39,1,105,4,urban
137,0,1,37,1,69,5,urban
138,1,1,41,1,229,4,urban
139,0,1,37,2,69,6,urban
140,0,1,29,1,68,6,rural
141,0,1,35,2,174,2,urban
142,0,1,44,1,71,4,urban
143,0,1,37,3,647,4,urban
144,0,1,25,1,51,6,urban
145,0,1,39,3,67,1,urban
146,0,0,33,1,55,3,urban
147,0,1,43,1,84,2,rural
148,0,1,37,1,238,3,rural
149,0,0,37,2,63,2,rural
150,0,1,41,2,58,2,rural
151,0,1,41,1,263,2,urban
152,0,0,38,2,76,2,urban
153,0,1,36,2,57,4,urban
154,0,1,45,2,71,1,urban
155,0,1,32,1,187,2,rural
156,1,0,36,1,72,6,urban
157,0,1,37,1,54,2,urban
158,0,0,45,2,59,3,urban
159,1,1,46,1,58,2,urban
160,0,0,39,2,609,2,rural
161,0,1,44,2,73,4,urban
162,0,0,44,1,54,2,rural
163,0,0,37,1,96,2,urban
164,0,1,38,1,55,1,urban
165,0,1,39,1,247,5,urban
166,0,0,35,1,436,5,rural
167,0,1,35,2,173,2,urban
168,0,1,41,1,72,2,urban
169,0,1,37,1,77,6,rural
170,0,1,45,2,59,4,rural
171,1,0,44,2,768,2,rural
172,0,1,37,1,64,3,urban
173,1,0,42,6,3064,1,urban
174,0,1,38,1,98,6,urban
175,1,0,37,2,151,4,rural
176,0,1,31,1,74,6,urban
177,0,0,42,2,511,4,urban
178,1,0,41,1,59,2,urban
179,1,1,38,1,52,1,rural
180,1,1,38,2,50,5,urban
181,1,1,35,1,54,4,urban
182,0,1,42,1,67,2,urban
183,0,1,42,1,91,4,urban
