id,SALES,ADV,BONUS,MKTSHR,COMPET,LASTYEARBONUS,REGION
1,964,374,231,33,202,217,1
2,893,409,236,29,253,243,1
3,1057,414,272,34,293,273,1
4,1183,448,291,24,202,261,2
5,1420,518,282,32,303,319,3
6,1548,638,321,29,354,321,3
7,1580,636,294,28,374,301,3
8,1072,447,306,31,404,288,1
9,1078,490,238,20,394,217,1
10,1123,501,271,30,303,258,2
11,1305,484,333,25,334,328,3
12,1552,618,262,34,354,255,3
13,1040,453,236,42,263,235,1
14,1045,441,250,28,334,234,2
15,1102,488,233,28,233,252,2
16,1225,538,272,30,273,299,2
17,1508,612,267,29,324,269,3
18,1564,601,277,32,404,256,3
19,1635,585,312,36,283,345,3
20,1159,525,293,34,222,299,1
21,1203,535,268,31,283,264,2
22,1294,486,310,32,243,280,2
23,1468,540,291,28,334,305,3
24,1584,584,289,27,313,272,3
25,1125,499,273,26,374,275,2
