id,profit,tenure,district,online,inc,age
6460,2071,23.75,1200,0,7,5
1262,2063,2.75,1200,0,9,3
29876,2062,1.25,1200,0,7,4
30182,2062,21.25,1200,0,5,5
24636,2061,21.1599998474121,1200,0,9,4
25901,2049,25.0799999237061,1200,0,6,7
962,2039,24.1599998474121,1100,0,1,6
16384,2039,4,1200,0,7,3
25259,2039,28.3299999237061,1100,0,4,6
9477,2034,0.910000026226044,1200,0,,
10701,2031,14,1200,0,7,4
24648,2031,5,1300,0,,
27850,2023,23.3299999237061,1200,0,5,4
7715,2008,33.1599998474121,1200,0,6,7
7924,2006,8.90999984741211,1200,0,9,3
26957,2005,16.8299999237061,1200,0,5,
8427,1989,0.75,1200,0,,
5592,1986,12.6599998474121,1200,0,6,7
1078,1980,12.4099998474121,1200,0,5,2
7373,1979,16.4099998474121,1200,1,9,3
10442,1964,13.6599998474121,1200,0,9,4
28753,1964,23.6599998474121,1300,0,6,5
15791,1955,8.40999984741211,1200,0,9,3
3312,1949,10.6599998474121,1200,0,9,3
4836,1944,29.5799999237061,1200,0,,
3229,1941,3.32999992370605,1200,0,9,6
14532,1940,10.1599998474121,1200,0,9,5
5933,1935,27.25,1200,0,,
9530,1934,3.66000008583069,1200,0,,
7987,1931,3.16000008583069,1200,0,6,3
3620,1928,6.57999992370606,1200,0,6,4
15377,1924,2.5,1200,0,9,3
25882,1921,11.5799999237061,1300,0,,
24865,1911,25.1599998474121,1200,0,4,6
15869,1907,30.0799999237061,1200,0,4,7
27429,1895,24.6599998474121,1200,0,6,4
3379,1894,12.5,1200,0,,
20936,1887,35.3300018310547,1200,0,9,6
17606,1867,23.3299999237061,1200,0,9,4
6196,1858,1.58000004291534,1200,0,1,4
19527,1858,0.75,1200,0,8,4
28276,1858,2.75,1100,1,7,5
9833,1855,1.6599999666214,1200,0,,
3215,1854,12.75,1200,0,6,6
22237,1853,20.5,1300,0,8,6
29350,1853,18.5,1200,1,,
24371,1852,28.5799999237061,1200,0,,
22263,1849,7,1200,0,9,6
26769,1848,32.75,1200,0,,
24006,1835,7.5,1200,0,,
15656,1825,12.6599998474121,1200,0,8,5
16780,1824,5.32999992370606,1200,0,7,4
436,1818,30.0799999237061,1200,0,1,7
30734,1818,2.75,1200,0,6,3
12612,1817,10.0799999237061,1300,0,6,
1665,1809,22.9099998474121,1200,0,4,6
25258,1801,5.25,1200,0,9,2
24195,1800,13.1599998474121,1200,0,6,7
15727,1794,11.6599998474121,1200,0,,
17362,1786,29.25,1300,0,6,7
16736,1783,25.75,1200,0,,
23048,1783,8.57999992370606,1200,1,6,5
3940,1781,7.82999992370606,1200,0,9,3
2602,1773,7.40999984741211,1200,0,,
20112,1773,3.75,1300,0,6,5
26096,1765,25.9099998474121,1200,0,9,6
25190,1763,19.75,1300,0,,
11989,1761,24.4099998474121,1200,0,6,7
11963,1761,9.07999992370605,1200,1,9,4
5703,1748,10.8299999237061,1200,0,9,2
9913,1748,31,1200,1,9,5
7172,1743,1.75,1200,0,9,3
11458,1741,22.0799999237061,1200,0,,
7544,1733,7.57999992370606,1200,0,9,5
23921,1725,17.4099998474121,1200,0,5,6
17366,1717,21.3299999237061,1200,0,8,6
9094,1711,21.3299999237061,1200,0,9,4
21664,1710,22.9099998474121,1200,0,7,4
1584,1709,21.8299999237061,1200,0,9,4
9731,1707,31.1599998474121,1200,0,2,7
8844,1705,10.6599998474121,1300,1,3,4
29413,1697,29.4099998474121,1200,0,6,5
3489,1696,16.9099998474121,1300,0,1,7
28686,1696,2.66000008583069,1200,0,9,3
28892,1696,0.8299999833107,1200,0,3,7
13194,1692,12.0799999237061,1200,1,,
20843,1674,18.4099998474121,1200,0,7,4
8286,1671,5.5,1300,0,,
30134,1671,6.57999992370606,1200,1,,
7188,1669,11.4099998474121,1200,0,7,5
30942,1667,23.8299999237061,1200,0,1,6
4767,1666,19,1100,0,3,7
16554,1662,0.910000026226044,1200,0,,
18455,1660,13.3299999237061,1200,0,,
10781,1657,10.6599998474121,1200,0,8,5
21340,1657,23.9099998474121,1200,0,8,4
27471,1653,19.25,1200,1,9,4
9006,1652,33.5,1200,0,6,6
10577,1648,3.82999992370605,1200,0,9,4
22199,1643,23.25,1200,0,,
24654,1643,19.5799999237061,1300,0,9,7
12216,1642,3.07999992370605,1200,0,9,3
26234,1635,20.1599998474121,1200,0,6,6
17585,1632,10.6599998474121,1200,0,8,4
15866,1631,36.4099998474121,1200,0,,
31297,1625,22.0799999237061,1200,0,7,3
5892,1619,5.15999984741211,1200,0,4,7
21579,1614,24.1599998474121,1200,0,9,4
27193,1614,13,1300,0,7,5
21342,1608,17.3299999237061,1200,0,6,3
9469,1606,9.5,1200,0,6,7
5731,1602,11.8299999237061,1300,1,7,5
21083,1601,23.9099998474121,1200,0,,
22602,1600,13.0799999237061,1200,0,9,4
965,1599,25.8299999237061,1200,0,6,5
15158,1597,22.9099998474121,1100,0,6,5
10672,1597,9.15999984741211,1200,1,,
23895,1595,0.409999996423721,1100,0,,
26599,1595,17.0799999237061,1100,0,4,7
6084,1594,13.5,1300,0,,
10036,1594,12.8299999237061,1200,1,9,6
23716,1589,25.4099998474121,1200,0,,
16621,1588,17.1599998474121,1200,1,9,3
26291,1587,12.9099998474121,1300,0,6,5
15281,1583,18.5,1200,0,,
11214,1582,0.409999996423721,1200,0,9,4
19859,1580,18.5799999237061,1200,0,5,5
21031,1570,24.0799999237061,1200,0,7,4
6619,1567,21,1200,0,9,4
9761,1565,7.5,1200,1,8,3
1212,1562,2.82999992370605,1300,0,6,5
18051,1562,6,1200,0,,
8916,1561,17.5,1300,0,8,3
13893,1561,7.5,1200,0,,
15321,1559,2.91000008583069,1300,0,7,3
7079,1554,28,1100,0,2,5
8355,1553,30.0799999237061,1200,0,5,7
2229,1551,7.5,1200,0,,
1361,1550,10.5,1200,1,8,5
24375,1546,5.25,1200,0,,
12073,1544,23.3299999237061,1200,0,9,4
6085,1543,8.32999992370606,1200,0,6,2
22016,1542,8.65999984741211,1200,1,,
9466,1541,12,1200,0,8,4
1479,1540,12.9099998474121,1200,0,,
16299,1538,6.40999984741211,1200,0,9,3
18827,1537,18.5799999237061,1200,0,6,5
30283,1537,41.1599998474121,1300,0,3,7
27177,1536,17.3299999237061,1200,0,6,4
24582,1535,7.90999984741211,1300,0,6,5
22570,1525,7.32999992370606,1100,0,2,7
